RowName,Tag,DevComment
1,Ability,HasChildren
2,Ability.AbilityClasses,HasChildren
3,Ability.AbilityClasses.ConfirmCancel,
4,Ability.AbilityClasses.Empty,
5,Ability.AbilityClasses.Ultimate,HasChildren
6,Ability.AbilityClasses.Ultimate.Empty,
7,Ability.AbilityClasses.Shaman,HasChildren
8,Ability.AbilityClasses.Shaman.Wall,
9,Ability.AbilityClasses.Shaman.BaseAttack.Heal,
10,Ability.AbilityClasses.Shaman.BaseAttack.Damage,
11,Ability.AbilityClasses.Shaman.HealCircle,
12,Ability.AbilityClasses.Shaman.SlowProjectileField,
13,Ability.Cooldown,HasChildren
14,Ability.Cooldown.Dash,
15,Ability.Cooldown.Shaman.Wall,
16,Ability.Cooldown.Shaman.HealCircle,
17,Ability.Cooldown.Shaman.SlowProjectileField,
18,Ability.NotCanceledByStun,HasChildren
19,Ability.AbilitySlot,
20,Ability.AbilitySlot.Dynamic,HasChildren
21,Ability.AbilitySlot.Static,HasChildren
22,Ability.AbilitySlot.Dynamic.SlotOne,Q
23,Ability.AbilitySlot.Dynamic.SlotTwo,E
24,Ability.AbilitySlot.Dynamic.SlotThree,C
25,Ability.AbilitySlot.Dynamic.SlotFour,V
26,Ability.AbilitySlot.Dynamic.Ultimate,X
27,Ability.AbilitySlot.Static.Dash,Alt
28,Ability.AbilitySlot.Static.Jump,SpaceBar
29,Ability.AbilitySlot.Static.Crouch,Ctrl
30,Ability.AbilitySlot.Static.ShoulderSwitch,MiddleMouse
31,Ability.AbilitySlot.Static.Run,Shift
32,Ability.AbilitySlot.Static.Interact,F
33,Ability.AbilitySlot.Static.BaseAttack,LeftClick
34,Ability.AbilitySlot.Static.Confirm,RightClick
35,Ability.AbilitySlot.Static.Cancel,LeftClick
36,Ability.AbilitySlot.Static.Inventory,Tab
37,Ability.AbilitySlot.Static.Pause,Esc
38,Ability.AbilitySlot.Static.Map,M
39,Ability.AbilitySlot.Static.AimDownSights,RightClick
40,Ability.AbilitySlot.Static.PrimaryWeapon,1
41,Ability.AbilitySlot.Static.SecondaryWeapon,2
42,Ability.AbilitySlot.Static.NextWeapon,WheelUp
43,Ability.AbilitySlot.Static.PreviousWeapon,WheelDown
44,GameplayCue,
45,State,
46,State.Dead,
47,State.Down,
48,State.Debuff,HasChildren
49,State.Buff,HasChildren
50,State.RestrictedMovement,
51,State.Movement,HasChildren
52,State.Aiming,HasChildren
53,State.Aiming.Short,
54,State.Aiming.Long,
55,State.Debuff.Stun,
56,State.Debuff.Slow,
57,State.Debuff.Silence,
58,State.Debuff.Vulnerable,
59,State.Buff.Regeneration,
60,State.Buff.Immunity,
61,State.Buff.Speed,
62,State.Buff.Cleanse,
63,State.Buff.Shield,
64,State.Buff.Tough,
65,State.Movement.Dash,
66,State.Movement.Crouch,
67,State.Movement.Jump,
68,State.Movement.Sprint,
69,State.Movement.AimDownSights,
70,State.Interact.Begin,
71,State.Interact.End,
72,State.Interact.Block,
73,State.Interacting.Add,
74,State.Interacting.Remove,
75,Data,HasChildren
76,Data.Damage,
77,Data.Shaman.Ammo.MaxHeal,
78,Data.Shaman.Ammo.MaxDamage,
79,PlayerControlled,
80,Item.Artifact.Pig,
81,Item.Artifact.Bear,
82,Item.CraftingMaterial.Crystal,
83,Item.CraftingMaterial.Stone,
84,Item.Consumable.HealthPotion,
85,Item.Consumable.Grenade,
86,Item.Consumable.Claymore,
87,Character.Shaman,Find a way to localizate
88,Character.Human,Find a way to localizate
89,Server.Mode.Tutorial,
90,Server.Mode.Normal,
91,Server.Privacy.Public,
92,Server.Privacy.FriendsOnly,
93,Server.Privacy.InviteOnly,
94,Server.Privacy.NoPassword,
95,Server.ShowAll,
